,title,href
0,Artificial intelligence,/wiki/Artificial_intelligence
1,Training data,/wiki/Training_data
2,Email filtering,/wiki/Email_filtering
3,Speech recognition,/wiki/Speech_recognition
4,Agriculture,/wiki/Agriculture
5,Computer vision,/wiki/Computer_vision
6,Computational statistics,/wiki/Computational_statistics
7,Mathematical optimization,/wiki/Mathematical_optimization
8,Data mining,/wiki/Data_mining
9,Exploratory data analysis,/wiki/Exploratory_data_analysis
10,Unsupervised learning,/wiki/Unsupervised_learning
11,Neural networks,/wiki/Neural_networks
12,Brain,/wiki/Brain
13,Predictive analytics,/wiki/Predictive_analytics
14,Family (biology),/wiki/Family_(biology)
15,Black swan theory,/wiki/Black_swan_theory
16,MNIST database,/wiki/MNIST_database
17,Arthur Samuel (computer scientist),/wiki/Arthur_Samuel_(computer_scientist)
18,IBM,/wiki/IBM
19,Computer gaming,/wiki/Computer_gaming
20,Artificial intelligence,/wiki/Artificial_intelligence
21,Punched tape,/wiki/Punched_tape
22,Raytheon Company,/wiki/Raytheon_Company
23,Reinforcement learning,/wiki/Reinforcement_learning
24,Goof,/wiki/Goof
25,Neural network,/wiki/Neural_network
26,Tom M. Mitchell,/wiki/Tom_M._Mitchell
27,Operational definition,/wiki/Operational_definition
28,Alan Turing,/wiki/Alan_Turing
29,Computing Machinery and Intelligence,/wiki/Computing_Machinery_and_Intelligence
30,Discipline (academia),/wiki/Discipline_(academia)
31,Neural network,/wiki/Neural_network
32,Perceptron,/wiki/Perceptron
33,ADALINE,/wiki/ADALINE
34,Generalized linear model,/wiki/Generalized_linear_model
35,Probabilistic reasoning,/wiki/Probabilistic_reasoning
36,Automated medical diagnosis,/wiki/Automated_medical_diagnosis
37,GOFAI,/wiki/GOFAI
38,Expert system,/wiki/Expert_system
39,Inductive logic programming,/wiki/Inductive_logic_programming
40,Pattern recognition,/wiki/Pattern_recognition
41,Information retrieval,/wiki/Information_retrieval
42,Computer science,/wiki/Computer_science
43,Connectionism,/wiki/Connectionism
44,John Hopfield,/wiki/John_Hopfield
45,David Rumelhart,/wiki/David_Rumelhart
46,Geoff Hinton,/wiki/Geoff_Hinton
47,Backpropagation,/wiki/Backpropagation
48,Symbolic artificial intelligence,/wiki/Symbolic_artificial_intelligence
49,Fuzzy logic,/wiki/Fuzzy_logic
50,Probability theory,/wiki/Probability_theory
51,Data mining,/wiki/Data_mining
52,Data mining,/wiki/Data_mining
53,Discovery (observation),/wiki/Discovery_(observation)
54,Knowledge discovery,/wiki/Knowledge_discovery
55,ECML PKDD,/wiki/ECML_PKDD
56,Mathematical optimization,/wiki/Mathematical_optimization
57,Loss function,/wiki/Loss_function
58,Generalization (learning),/wiki/Generalization_(learning)
59,Deep learning,/wiki/Deep_learning
60,Statistics,/wiki/Statistics
61,Statistical inference,/wiki/Statistical_inference
62,Sample (statistics),/wiki/Sample_(statistics)
63,Michael I. Jordan,/wiki/Michael_I._Jordan
64,Data science,/wiki/Data_science
65,Leo Breiman,/wiki/Leo_Breiman
66,Random forest,/wiki/Random_forest
67,Neural networks,/wiki/Neural_networks
68,Medical diagnostics,/wiki/Medical_diagnostics
69,Theoretical computer science,/wiki/Theoretical_computer_science
70,Computational learning theory,/wiki/Computational_learning_theory
71,Probably approximately correct learning,/wiki/Probably_approximately_correct_learning
72,Bias–variance decomposition,/wiki/Bias%E2%80%93variance_decomposition
73,Errors and residuals,/wiki/Errors_and_residuals
74,Overfitting,/wiki/Overfitting
75,Time complexity,/wiki/Time_complexity#Polynomial_time
76,Time complexity,/wiki/Time_complexity
77,Training data,/wiki/Training_data
78,Array data structure,/wiki/Array_data_structure
79,Matrix (mathematics),/wiki/Matrix_(mathematics)
80,Mathematical optimization,/wiki/Mathematical_optimization#Computational_optimization_techniques
81,Loss function,/wiki/Loss_function
82,Active learning (machine learning),/wiki/Active_learning_(machine_learning)
83,Statistical classification,/wiki/Statistical_classification
84,Regression analysis,/wiki/Regression_analysis
85,Similarity learning,/wiki/Similarity_learning
86,Ranking,/wiki/Ranking
87,Recommender system,/wiki/Recommender_system
88,Density estimation,/wiki/Density_estimation
89,Statistics,/wiki/Statistics
90,Probability density function,/wiki/Probability_density_function
